Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution
Rais M'Bolhi,GK,12,89,72,87,9.0,Al Ettifaq,48,0,0,8.7
Rayan Ait-Nouri,DF,75,84,82,90,8.6,Wolves,42,6,9,8.7
Youcef Atal,DF,80,82,84,92,8.8,Nice,45,7,11,9.0
Ramy Bensebaini,DF,77,88,86,94,9.2,Borussia Dortmund,52,10,13,9.2
Ismael Bennacer,MF,77,84,92,92,9.4,AC Milan,54,7,14,9.4
Houssem Aouar,MF,90,72,94,90,9.0,Roma,50,14,17,9.2
Riyad Mahrez,FW,96,52,94,88,9.6,Al Ahli,56,28,22,9.7
Amine Gouiri,FW,88,50,84,86,8.6,Rennes,44,15,13,8.6
Youcef Belaili,FW,92,50,88,86,9.0,Brest,44,18,16,9.0
Baghdad Bounedjah,FW,90,50,80,90,9.0,Al Sadd,52,25,12,9.0
Said Benrahma,FW,92,54,90,88,9.0,Lyon,50,17,18,9.2
