Name,Position,Attack,Defense,Passing,Stamina,Consistency,Club,Matches_Last_5Y,Goals_Last_5Y,Assists_Last_5Y,FIFA_Ranking_Contribution
Edouard Mendy,GK,10,93,74,90,9.2,Al Ahli,54,0,0,9.2
Abdou Diallo,DF,64,90,82,92,9.0,RB Leipzig,48,5,6,9.0
Formose Mendy,DF,57,87,74,88,8.4,Amiens,33,4,3,8.0
Ismail Jakobs,DF,77,82,84,94,8.7,Monaco,42,6,10,8.7
Kalidou Koulibaly,DF,60,95,80,90,9.6,Al Hilal,55,8,4,9.6
Youssouf Sabaly,DF,72,84,80,92,8.6,Real Betis,45,5,11,8.6
Pape Gueye,MF,77,84,90,92,8.6,Villarreal,42,8,11,8.6
Idrissa Gueye,MF,70,92,87,94,9.4,Everton,58,6,10,9.2
Krepin Diatta,MF,87,72,86,90,8.8,Monaco,45,11,14,8.8
Pape Matar Sarr,MF,82,80,88,96,9.0,Tottenham,44,10,12,9.2
Sadio Mane,FW,96,57,90,88,9.6,Al Nassr,52,25,18,9.6
